Timestamp,Event,Confidence
2026-06-25_10-32-54,FIRE,0.653
2026-06-25_10-33-03,FIRE,0.612
2026-06-25_10-33-07,FIRE,0.718
2026-06-25_10-33-11,FIRE,0.64
2026-06-25_10-33-15,FIRE,0.768
2026-06-25_10-33-18,FIRE,0.824
2026-06-25_10-33-22,FIRE,0.653
2026-06-25_10-33-27,FIRE,0.854
2026-06-25_10-33-30,FIRE,0.783
2026-06-25_10-33-34,FIRE,0.871
2026-06-25_10-33-37,FIRE,0.925
2026-06-25_10-33-41,FIRE,0.743
2026-06-25_10-33-44,FIRE,0.835
2026-06-25_10-33-47,FIRE,0.841
2026-06-25_10-33-50,FIRE,0.857
2026-06-25_10-33-55,FIRE,0.92
2026-06-25_10-33-59,FIRE,0.625
2026-06-25_10-34-05,FIRE,0.839
2026-06-25_10-34-10,FIRE,0.892
2026-06-25_10-34-14,FIRE,0.838
2026-06-25_10-34-17,FIRE,0.876
2026-06-25_10-34-20,FIRE,0.85
2026-06-25_10-34-24,FIRE,0.831
2026-06-25_10-34-27,FIRE,0.92
2026-06-25_10-34-31,FIRE,0.876
2026-06-25_10-34-34,FIRE,0.9
2026-06-25_10-34-39,FIRE,0.696
2026-06-25_10-34-43,FIRE,0.675
2026-06-25_10-34-47,FIRE,0.808
2026-06-25_10-35-19,FIRE,0.856
2026-06-25_10-35-43,FIRE,0.839
2026-06-25_10-35-51,FIRE,0.725
2026-06-25_10-35-58,FIRE,0.889
2026-06-25_10-36-38,FIRE,0.736
2026-06-25_10-36-50,FIRE,0.816
2026-06-25_10-37-17,FIRE,0.747
2026-06-25_10-37-55,FIRE,0.827
2026-06-25_10-38-00,FIRE,0.912
2026-06-25_10-38-09,FIRE,0.894
2026-06-25_10-38-14,FIRE,0.867
2026-06-25_10-38-29,FIRE,0.794
2026-06-25_10-38-34,FIRE,0.852
2026-06-25_10-38-38,FIRE,0.91
2026-06-25_10-38-41,FIRE,0.876
2026-06-25_10-38-45,FIRE,0.828
2026-06-25_10-38-53,FIRE,0.752
2026-06-25_10-39-14,FIRE,0.779
2026-06-25_10-39-29,FIRE,0.889
2026-06-25_10-39-37,FIRE,0.901
2026-06-25_10-39-52,FIRE,0.844
2026-06-25_10-40-18,FIRE,0.691
2026-06-25_10-40-28,FIRE,0.762
2026-06-25_10-40-33,FIRE,0.766
2026-06-25_10-40-39,FIRE,0.634
2026-06-25_10-40-43,FIRE,0.75
2026-06-25_10-40-47,FIRE,0.874
2026-06-25_10-40-51,FIRE,0.921
2026-06-25_10-40-55,FIRE,0.7
2026-06-25_10-41-00,FIRE,0.887
2026-06-25_10-41-04,FIRE,0.758
2026-06-25_10-41-09,FIRE,0.821
2026-06-25_10-41-13,FIRE,0.851
2026-06-25_10-41-19,FIRE,0.808
2026-06-25_10-41-23,FIRE,0.805
2026-06-25_10-41-27,FIRE,0.63
2026-06-25_10-41-37,FIRE,0.867
2026-06-25_10-41-51,FIRE,0.711
2026-06-25_10-41-57,FIRE,0.756
2026-06-25_10-42-02,FIRE,0.914
2026-06-25_10-42-08,FIRE,0.924
2026-06-25_10-42-12,FIRE,0.773
2026-06-25_10-42-17,FIRE,0.848
2026-06-25_10-42-28,FIRE,0.749
2026-06-25_10-42-42,FIRE,0.88
2026-06-25_10-42-49,FIRE,0.888
2026-06-25_10-42-58,FIRE,0.784
2026-06-25_10-43-05,FIRE,0.703
2026-06-25_10-43-10,FIRE,0.826
2026-06-25_10-43-14,FIRE,0.803
2026-06-25_10-43-18,FIRE,0.767
2026-06-25_10-43-24,FIRE,0.878
2026-06-25_10-43-29,FIRE,0.924
2026-06-25_10-43-32,FIRE,0.842
2026-06-25_10-43-42,FIRE,0.905
2026-06-25_10-43-48,FIRE,0.914
2026-06-25_10-43-52,FIRE,0.939
2026-06-25_10-43-58,FIRE,0.912
2026-06-25_10-44-03,FIRE,0.915
2026-06-25_10-44-08,FIRE,0.821
2026-06-25_10-44-11,FIRE,0.855
2026-06-25_10-44-20,FIRE,0.789
2026-06-25_10-44-26,FIRE,0.864
2026-06-25_10-44-32,FIRE,0.807
2026-06-25_10-44-36,FIRE,0.882
2026-06-25_10-44-40,FIRE,0.74
2026-06-25_10-44-44,FIRE,0.829
2026-06-25_10-44-50,FIRE,0.718
2026-06-25_10-44-57,FIRE,0.833
2026-06-25_10-45-02,FIRE,0.887
2026-06-25_10-45-14,FIRE,0.839
2026-06-25_10-45-21,FIRE,0.771
2026-06-25_10-46-01,FIRE,0.812
2026-06-25_10-46-08,FIRE,0.778
2026-06-25_10-46-18,FIRE,0.911
2026-06-25_10-46-25,FIRE,0.925
2026-06-25_10-46-34,FIRE,0.902
2026-06-25_10-47-17,FIRE,0.912
2026-06-25_10-47-24,FIRE,0.868
2026-06-25_10-47-30,FIRE,0.861
2026-06-25_10-47-34,FIRE,0.936
2026-06-25_10-47-38,FIRE,0.859
2026-06-25_10-47-43,FIRE,0.908
2026-06-25_10-47-47,FIRE,0.921
2026-06-25_10-47-50,FIRE,0.904
2026-06-25_10-47-56,FIRE,0.885
2026-06-25_10-48-03,FIRE,0.918
2026-06-25_10-48-14,FIRE,0.738
2026-06-25_10-48-31,FIRE,0.785
2026-06-25_10-48-39,FIRE,0.844
2026-06-25_10-48-43,FIRE,0.741
2026-06-25_10-48-48,FIRE,0.819
2026-06-25_10-48-55,FIRE,0.794
2026-06-25_10-49-05,FIRE,0.758
